nome,genero,data_nascimento,presença_plenario,ausencia_justificada_plenario,ausencia_plenario,presença_comissao,ausencia_justificada_comissao,ausencia_comissao,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_mai_par,gasto_jun_par,gasto_jul_par,gasto_ago_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,salario_bruto_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_mai_gab,gasto_jun_gab,gasto_jul_gab,gasto_ago_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario_bruto,quant_viagem,avatar
JOSE ABILIO SILVA DE SANTANA,M,13/02/1965,74 dias,0 dias,0 dias,14 reuniões,0 reuniões,10 reuniões,247343.51,33227.0,39252.23,40431.29,42361.77,47223.74,35504.89,9342.59,NaN,NaN,NaN,NaN,NaN,250424.49000000002,1108321.75,33227.0,39252.23,40431.29,42361.77,47223.74,35504.89,9342.59,NaN,NaN,NaN,NaN,NaN,33763.0,0,https://www.camara.leg.br/internet/deputado/bandep/204554.jpgmaior.jpg
JOSÉ ALFONSO EBERT HAMM,M,25/04/1962,82 dias,9 dias,1 dias,23 reuniões,4 reuniões,15 reuniões,355459.48,26704.69,37647.85,52022.57,63625.31,51839.35,42409.07,42196.47,28461.64,7062.58,2561.65,928.3,NaN,449634.89999999997,1113027.42,26704.69,37647.85,52022.57,63625.31,51839.35,42409.07,42196.47,28461.64,7062.58,2561.65,928.3,NaN,33763.0,0,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/136811.jpg
ACÁCIO DA SILVA FAVACHO NETO,M,28/09/1983,62 dias,30 dias,0 dias,7 reuniões,10 reuniões,13 reuniões,359004.95,53128.93,68164.59,36043.19,33949.34,34152.0,31013.23,28767.5,36398.45,23741.26,13646.46,0.0,NaN,477122.58,1102803.66,53128.93,68164.59,36043.19,33949.34,34152.0,31013.23,28767.5,36398.45,23741.26,13646.46,0.0,NaN,33763.0,0,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/204379.jpg
PAULO SERGIO ABOU ANNI,M,06/11/1966,87 dias,3 dias,2 dias,22 reuniões,1 reuniões,13 reuniões,301917.43,27405.24,16072.33,68763.27,67772.79,75533.07,13287.62,13475.02,2147.73,3052.73,13587.2,820.43,NaN,407832.36,1106081.53,27405.24,16072.33,68763.27,67772.79,75533.07,13287.62,13475.02,2147.73,3052.73,13587.2,820.43,NaN,33763.0,0,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/204521.jpg
AÉCIO NEVES DA CUNHA,M,10/03/1960,82 dias,10 dias,0 dias,5 reuniões,2 reuniões,9 reuniões,277091.6,39186.59,27534.82,38926.5,34658.66,30032.66,23189.71,18791.37,19260.07,25008.05,18219.61,2283.56,NaN,403134.67,1060028.98,39186.59,27534.82,38926.5,34658.66,30032.66,23189.71,18791.37,19260.07,25008.05,18219.61,2283.56,NaN,33763.0,,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/74646.jpg
ADRIANO ANTÔNIO AVELAR,M,06/09/1969,84 dias,7 dias,1 dias,9 reuniões,0 reuniões,0 reuniões,238135.82,26827.37,31162.48,34102.08,32659.2,43822.18,18733.88,26482.48,13476.34,5457.03,5412.78,0.0,NaN,390577.66000000003,1091517.67,26827.37,31162.48,34102.08,32659.2,43822.18,18733.88,26482.48,13476.34,5457.03,5412.78,0.0,NaN,33763.0,0,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/121948.jpg
AELTON JOSÉ DE FREITAS,M,15/12/1961,83 dias,2 dias,7 dias,22 reuniões,3 reuniões,13 reuniões,359085.48,37592.87,44508.37,46095.45,33084.47,49928.24,19715.12,38644.85,22680.38,19806.39,46467.14,562.2,NaN,397019.81,1102022.19,37592.87,44508.37,46095.45,33084.47,49928.24,19715.12,38644.85,22680.38,19806.39,46467.14,562.2,NaN,33763.0,0,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/141372.jpg
AFONSO BANDEIRA FLORENCE,M,15/10/1960,79 dias,13 dias,0 dias,7 reuniões,2 reuniões,15 reuniões,323535.74,49117.18,40471.77,63232.46,51564.67,16600.9,32319.33,21335.62,19915.04,12458.57,16520.2,0.0,NaN,429525.26,1113757.81,49117.18,40471.77,63232.46,51564.67,16600.9,32319.33,21335.62,19915.04,12458.57,16520.2,0.0,NaN,33763.0,0,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/160508.jpg
ADOLFO VIANA DE CASTRO NETO,M,02/02/1981,74 dias,18 dias,0 dias,3 reuniões,0 reuniões,2 reuniões,320378.7,52708.8,40019.47,45679.91,28915.46,51013.39,21158.76,53593.14,17135.9,5153.87,5000.0,0.0,NaN,442601.43,1038693.82,52708.8,40019.47,45679.91,28915.46,51013.39,21158.76,53593.14,17135.9,5153.87,5000.0,0.0,NaN,33763.0,0,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/204560.jpg
AFONSO ANTUNES DA MOTTA,M,08/01/1950,90 dias,0 dias,2 dias,33 reuniões,10 reuniões,16 reuniões,352048.4,32139.72,33987.87,68366.38,63600.42,35921.8,29311.4,34287.44,24321.7,16769.66,12379.32,962.69,NaN,451712.78,1032442.88,32139.72,33987.87,68366.38,63600.42,35921.8,29311.4,34287.44,24321.7,16769.66,12379.32,962.69,NaN,33763.0,0,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/178835.jpg
AGUINALDO VELLOSO BORGES RIBEIRO,M,13/02/1969,69 dias,5 dias,1 dias,14 reuniões,3 reuniões,10 reuniões,240198.29,15195.95,42563.48,38064.38,47346.47,40346.9,35149.41,21531.7,NaN,NaN,NaN,NaN,NaN,272533.7,1111197.3,15195.95,42563.48,38064.38,47346.47,40346.9,35149.41,21531.7,NaN,NaN,NaN,NaN,NaN,33763.0,0,https://www.camara.leg.br/internet/deputado/bandep/160527.jpgmaior.jpg
AIRTON LUIZ FALEIRO,M,16/03/1959,80 dias,2 dias,10 dias,39 reuniões,1 reuniões,34 reuniões,309629.36,35394.75,15750.75,52334.7,69448.32,59994.95,30701.91,23743.07,12260.9,10000.01,0.0,0.0,NaN,468741.47,1106094.83,35394.75,15750.75,52334.7,69448.32,59994.95,30701.91,23743.07,12260.9,10000.01,0.0,0.0,NaN,33763.0,0,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/204495.jpg
ALCEU MOREIRA DA SILVA,M,04/06/1954,79 dias,10 dias,3 dias,25 reuniões,6 reuniões,4 reuniões,333913.36,33409.67,47543.73,66396.79,41576.56,28880.58,28442.87,24547.55,21775.28,18521.58,22474.78,343.97,NaN,449779.88,1099097.84,33409.67,47543.73,66396.79,41576.56,28880.58,28442.87,24547.55,21775.28,18521.58,22474.78,343.97,NaN,33763.0,0,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/160559.jpg
ALESSANDRO LUCCIOLA MOLON,M,28/10/1971,91 dias,0 dias,1 dias,12 reuniões,0 reuniões,28 reuniões,255002.23,31570.48,30384.44,50567.81,42126.95,31402.04,27611.34,29369.28,10660.58,519.41,789.9,0.0,NaN,393359.67000000004,1030438.74,31570.48,30384.44,50567.81,42126.95,31402.04,27611.34,29369.28,10660.58,519.41,789.9,0.0,NaN,33763.0,0,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/160511.jpg
ALAN RICK MIRANDA,M,23/10/1976,68 dias,4 dias,3 dias,25 reuniões,4 reuniões,6 reuniões,260266.82,25341.0,49605.5,42101.87,52911.63,58520.65,22071.7,9714.47,NaN,NaN,NaN,NaN,NaN,287661.41000000003,1078268.62,25341.0,49605.5,42101.87,52911.63,58520.65,22071.7,9714.47,NaN,NaN,NaN,NaN,NaN,33763.0,0,https://www.camara.leg.br/internet/deputado/bandep/178836.jpgmaior.jpg
ALCIDES RODRIGUES FILHO,M,08/10/1950,88 dias,0 dias,4 dias,51 reuniões,0 reuniões,9 reuniões,340796.64,8890.42,41162.85,42491.68,43132.46,49169.45,47869.0,38484.01,34961.71,31057.31,2541.76,1035.99,NaN,400485.41000000003,1070565.32,8890.42,41162.85,42491.68,43132.46,49169.45,47869.0,38484.01,34961.71,31057.31,2541.76,1035.99,NaN,33763.0,0,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/204413.jpg
ALENCAR SANTANA BRAGA,M,14/03/1976,80 dias,12 dias,0 dias,22 reuniões,1 reuniões,0 reuniões,264974.32,34345.52,35493.58,35440.42,38514.9,38770.46,18197.7,26020.76,6807.71,1491.64,29592.82,298.81,NaN,420284.39,1110423.93,34345.52,35493.58,35440.42,38514.9,38770.46,18197.7,26020.76,6807.71,1491.64,29592.82,298.81,NaN,33763.0,0,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/204501.jpg
ANTONIO JOSE AGUIAR ALBUQUERQUE,M,26/09/1983,77 dias,8 dias,7 dias,8 reuniões,4 reuniões,8 reuniões,278147.7,20904.41,48923.15,29493.45,50213.67,61247.64,8046.24,21729.25,18453.95,10715.78,7842.88,577.28,NaN,466969.47,1070478.23,20904.41,48923.15,29493.45,50213.67,61247.64,8046.24,21729.25,18453.95,10715.78,7842.88,577.28,NaN,33763.0,0,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/204549.jpg
ALEX SPINELLI MANENTE,M,22/08/1979,89 dias,3 dias,0 dias,4 reuniões,1 reuniões,4 reuniões,132011.29,15300.72,26359.99,26151.48,23508.22,16355.44,10874.7,4235.82,9077.31,5.81,141.8,0.0,NaN,407478.82999999996,1112704.43,15300.72,26359.99,26151.48,23508.22,16355.44,10874.7,4235.82,9077.31,5.81,141.8,0.0,NaN,33763.0,0,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/178972.jpg
ALEX MARCO SANTANA SOUSA,M,22/06/1972,79 dias,8 dias,5 dias,11 reuniões,5 reuniões,10 reuniões,339373.27,36828.58,39595.76,45254.75,45428.67,30562.91,32839.29,36321.0,33993.98,23336.07,15212.26,0.0,NaN,429163.0,1112649.83,36828.58,39595.76,45254.75,45428.67,30562.91,32839.29,36321.0,33993.98,23336.07,15212.26,0.0,NaN,33763.0,0,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/204571.jpg
ALEXANDRE BRITO DE FIGUEIREDO,M,09/03/1974,19 dias,0 dias,0 dias,5 reuniões,0 reuniões,4 reuniões,119950.41,NaN,NaN,NaN,NaN,NaN,NaN,38274.79,31223.84,16164.98,34286.8,0.0,NaN,159348.55,0.0,NaN,NaN,NaN,NaN,NaN,NaN,38274.79,31223.84,16164.98,34286.8,0.0,NaN,33763.0,0,https://www.camara.leg.br/internet/deputado/bandep/105534.jpgmaior.jpg
ALEXANDRE FROTA DE ANDRADE,M,14/10/1963,57 dias,33 dias,2 dias,7 reuniões,5 reuniões,0 reuniões,362514.62,47863.87,40252.01,44806.14,24966.69,42290.53,37104.55,24453.51,44820.06,21506.06,34451.2,0.0,NaN,408471.06,1086843.56,47863.87,40252.01,44806.14,24966.69,42290.53,37104.55,24453.51,44820.06,21506.06,34451.2,0.0,NaN,NaN,,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/204544.jpg
ALEXANDRE LEITE DA SILVA,M,18/04/1989,87 dias,5 dias,0 dias,56 reuniões,0 reuniões,8 reuniões,345092.62,36267.67,43626.71,33452.69,51312.23,48150.79,46525.13,23552.93,23766.2,20428.05,18010.22,0.0,NaN,451133.29,947897.17,36267.67,43626.71,33452.69,51312.23,48150.79,46525.13,23552.93,23766.2,20428.05,18010.22,0.0,NaN,33763.0,0,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/160545.jpg
